name,latitude,longitude,category_name,venues
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Outdoors & Recreation,42
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Professional & Other Places,51
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Residence,13
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Shop & Service,72
Shopping União de Osasco,-23.538374430579715,-46.76549831474179,Travel & Transport,7
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Arts & Entertainment,10
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,College & University,16
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Event,4
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Food,80
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Nightlife Spot,8
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Outdoors & Recreation,21
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Professional & Other Places,44
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Residence,5
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Shop & Service,78
Shopping Metrô Tucuruvi,-23.479791474787376,-46.602530506260386,Travel & Transport,9
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Arts & Entertainment,13
Shopping Center Norte,-23.51559554085492,-46.61769637111641,College & University,15
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Event,6
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Food,126
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Nightlife Spot,11
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Outdoors & Recreation,10
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Professional & Other Places,50
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Residence,4
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Shop & Service,106
Shopping Center Norte,-23.51559554085492,-46.61769637111641,Travel & Transport,73
Shopping Butantã,-23.58529024806558,-46.72500421274316,Arts & Entertainment,4
Shopping Butantã,-23.58529024806558,-46.72500421274316,College & University,18
Shopping Butantã,-23.58529024806558,-46.72500421274316,Event,1
Shopping Butantã,-23.58529024806558,-46.72500421274316,Food,82
Shopping Butantã,-23.58529024806558,-46.72500421274316,Nightlife Spot,15
Shopping Butantã,-23.58529024806558,-46.72500421274316,Outdoors & Recreation,38
Shopping Butantã,-23.58529024806558,-46.72500421274316,Professional & Other Places,42
Shopping Butantã,-23.58529024806558,-46.72500421274316,Residence,12
Shopping Butantã,-23.58529024806558,-46.72500421274316,Shop & Service,61
Shopping Butantã,-23.58529024806558,-46.72500421274316,Travel & Transport,10
